professor,department,Quality,Difficulty,aspect,sentiment
James Nichols ,Government department,5.0,2.0,doubt_solving,positive
James Nichols ,Government department,5.0,2.0,study_material,positive
James Nichols ,Government department,3.0,1.0,subject_difficulty,negative
James Nichols ,Government department,4.0,1.0,subject_difficulty,positive
James Nichols ,Government department,5.0,2.0,subject_difficulty,positive
James Nichols ,Government department,5.0,1.0,teaching_pace,positive
James Nichols ,Government department,4.5,2.0,study_material,positive
James Nichols ,Government department,4.5,2.0,subject_difficulty,positive
James Nichols ,Government department,4.0,1.0,explanation_clarity,positive
James Nichols ,Government department,4.0,1.0,study_material,positive
James Nichols ,Government department,4.0,1.0,subject_difficulty,positive
James Nichols ,Government department,3.5,2.0,study_material,positive
James Nichols ,Government department,3.5,2.0,subject_difficulty,positive
James Nichols ,Government department,4.0,1.0,explanation_clarity,negative
James Nichols ,Government department,4.0,1.0,study_material,negative
James Nichols ,Government department,5.0,2.0,teaching_pace,positive
James Nichols ,Government department,5.0,2.0,study_material,positive
James Nichols ,Government department,5.0,2.0,subject_difficulty,positive
James Nichols ,Government department,5.0,2.0,doubt_solving,positive
James Nichols ,Government department,5.0,2.0,subject_difficulty,positive
James Nichols ,Government department,3.5,3.0,subject_difficulty,positive
James Nichols ,Government department,4.0,3.0,study_material,positive
James Nichols ,Government department,4.0,4.0,study_material,positive
Cynthia Humes ,Religious Studies department,4.0,4.0,explanation_clarity,neutral
Cynthia Humes ,Religious Studies department,4.0,4.0,study_material,neutral
Cynthia Humes ,Religious Studies department,4.0,4.0,practical_sessions,neutral
Cynthia Humes ,Religious Studies department,4.0,4.0,study_material,positive
Cynthia Humes ,Religious Studies department,2.5,4.0,explanation_clarity,negative
Cynthia Humes ,Religious Studies department,2.5,4.0,doubt_solving,negative
Cynthia Humes ,Religious Studies department,2.5,4.0,practical_sessions,negative
Cynthia Humes ,Religious Studies department,5.0,5.0,subject_difficulty,positive
Cynthia Humes ,Religious Studies department,4.0,5.0,doubt_solving,positive
Cynthia Humes ,Religious Studies department,3.0,5.0,study_material,negative
Colin Wright ,Economics department,3.0,4.0,explanation_clarity,neutral
Colin Wright ,Economics department,3.0,4.0,teaching_pace,neutral
Colin Wright ,Economics department,3.0,4.0,study_material,neutral
Colin Wright ,Economics department,3.0,4.0,subject_difficulty,neutral
Colin Wright ,Economics department,2.5,3.0,doubt_solving,positive
Colin Wright ,Economics department,2.5,3.0,practical_sessions,negative
Colin Wright ,Economics department,2.5,3.0,faculty_availability,positive
Colin Wright ,Economics department,2.5,3.0,subject_difficulty,negative
Colin Wright ,Economics department,5.0,4.0,doubt_solving,positive
Colin Wright ,Economics department,5.0,4.0,faculty_availability,positive
Colin Wright ,Economics department,5.0,2.0,explanation_clarity,negative
Colin Wright ,Economics department,5.0,2.0,subject_difficulty,negative
Colin Wright ,Economics department,4.0,2.0,doubt_solving,negative
Colin Wright ,Economics department,4.0,2.0,study_material,negative
Colin Wright ,Economics department,4.0,2.0,practical_sessions,negative
Colin Wright ,Economics department,4.0,2.0,faculty_availability,negative
Colin Wright ,Economics department,5.0,3.0,doubt_solving,positive
Colin Wright ,Economics department,5.0,3.0,subject_difficulty,positive
Colin Wright ,Economics department,3.5,3.0,doubt_solving,positive
Colin Wright ,Economics department,3.0,3.0,explanation_clarity,positive
Colin Wright ,Economics department,3.0,3.0,doubt_solving,positive
Colin Wright ,Economics department,3.0,3.0,faculty_availability,positive
Colin Wright ,Economics department,4.0,2.0,study_material,positive
Colin Wright ,Economics department,5.0,3.0,doubt_solving,positive
Colin Wright ,Economics department,5.0,3.0,study_material,positive
Colin Wright ,Economics department,5.0,3.0,practical_sessions,positive
Colin Wright ,Economics department,4.0,3.0,practical_sessions,positive
Colin Wright ,Economics department,4.0,3.0,subject_difficulty,positive
Colin Wright ,Economics department,1.0,5.0,doubt_solving,negative
