professor,department,Quality,Difficulty,Comment,comment_length,cleaned_comment,aspects,aspect_count,aspect_sentiments
James Nichols ,Government department,5.0,2.0,"Professor Nichols is super nice and very wholesome! There is a lot of reading, but you can get by without doing very much of it. He does talk a LOT and doesn't foster as much discussion, but I think the latter might also be because people stop doing the readings a few weeks in. He does appreciate participation and gives great essay feedback!",63,professor nichols be super nice and very wholesome there be a lot of reading but you can get by without do very much of it he do talk a lot and do not foster as much discussion but I think the latter might also be because people stop do the reading a few week in he do appreciate participation and give great essay feedback,"['doubt_solving', 'study_material']",2,"{'study_material': ('positive', 0.7717), 'doubt_solving': ('positive', 0.6808)}"
James Nichols ,Government department,3.0,1.0,"Very chill class and teacher, very easy grader, but talks for most of the class and does not really foster discussion.",21,very chill class and teacher very easy grader but talk for most of the class and do not really foster discussion,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.4927)}"
James Nichols ,Government department,4.0,1.0,"Awesome, easy, knows literally everything about his subject it is crazy!",11,awesome easy know literally everything about his subject it be crazy,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.6808)}"
James Nichols ,Government department,5.0,2.0,"Prof. Nichols is a super nice and encouraging man. And most importantly, he is extremely knowledgeable and you will learn a great deal from him. The class is pretty easy 'cause he's an easy grader. He takes rolls at the beginning of the semester but you will be fine if you don't go to this class from time to time. Highly recommend!",62,prof nichols be a super nice and encourage man and most importantly he be extremely knowledgeable and you will learn a great deal from he the class be pretty easy cause he s an easy grader he take roll at the beginning of the semester but you will be fine if you do not go to this class from time to time highly recommend,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.9769)}"
James Nichols ,Government department,5.0,1.0,Good Professor. Really nice and encouraging teacher. Class moves along at an enjoyable but swift pace.,16,good professor really nice and encourage teacher class move along at an enjoyable but swift pace,['teaching_pace'],1,"{'teaching_pace': ('positive', 0.2023)}"
James Nichols ,Government department,4.5,2.0,Not very difficult and the reading is not very difficult. He knows his stuff.,14,not very difficult and the reading be not very difficult he know his stuff,"['study_material', 'subject_difficulty']",2,"{'study_material': ('positive', 0.5652), 'subject_difficulty': ('positive', 0.5652)}"
James Nichols ,Government department,4.0,1.0,"If you aren't looking forward to taking Civ, take nichols. He doesn't hold you responsible for the reading and he is an easy grader. The assessments are reasonable and infrequent. The class is pretty boring, but it is important to go. Just regurgitate the lectures in your papers with a little extra insight and you'll do really well.",58,if you be not look forward to take civ take nichols he do not hold you responsible for the reading and he be an easy grader the assessment be reasonable and infrequent the class be pretty boring but it be important to go just regurgitate the lecture in your paper with a little extra insight and you ll do really well,"['explanation_clarity', 'study_material', 'subject_difficulty']",3,"{'study_material': ('positive', 0.4287), 'subject_difficulty': ('positive', 0.4287), 'explanation_clarity': ('positive', 0.4927)}"
James Nichols ,Government department,3.5,2.0,"Smart guy. Is obviously interested in the books he chose and knows alot about them. If yo don't do the reading, you can get by. It's more interesting if you do though. Was on friday at 10 which was less than ideal, but a pretty good teacher. Papers were really easy. Just pay attention in class, and expand his ideas.",60,smart guy be obviously interested in the book he choose and know alot about they if yo do not do the reading you can get by its more interesting if you do though be on friday at which be less than ideal but a pretty good teacher paper be really easy just pay attention in class and expand his idea,"['study_material', 'subject_difficulty']",2,"{'study_material': ('positive', 0.8889), 'subject_difficulty': ('positive', 0.8729)}"
James Nichols ,Government department,4.0,1.0,"If you don't like the idea of having to take Civ, then Nichols is the guy for you. Discussions are more like lectures, so he doesn't hold people responsible for the reading. He grades papers generously and there aren't very many of them. You won't have fun, but it won't be that  much work and you'll do decently.",58,if you do not like the idea of have to take civ then nichols be the guy for you discussion be more like lecture so he do not hold people responsible for the reading he grade paper generously and there be not very many of they you will not have fun but it will not be that much work and you ll do decently,"['explanation_clarity', 'study_material']",2,"{'explanation_clarity': ('neutral', -0.0467), 'study_material': ('neutral', -0.0467)}"
James Nichols ,Government department,5.0,2.0,"Nichols is an amazing professor--managed to make a course often regarded as filler extremely interesting.  Nichols speaks animatedly and is willing to engage students in a fast-paced, firm, yet comedic manner.  Harder than other Civ sections, but well worth the added papers/readings and final.  Very accommodating.  You will enjoy this course.",51,nichols be an amazing professormanage to make a course often regard as filler extremely interesting nichols speak animatedly and be willing to engage student in a fastpaced firm yet comedic manner hard than other civ section but well worth the add papersreading and final very accommodate you will enjoy this course,"['teaching_pace', 'study_material', 'subject_difficulty']",3,"{'teaching_pace': ('positive', 0.8479), 'subject_difficulty': ('positive', 0.3182), 'study_material': ('positive', 0.7351)}"
