comment_id,original_comment,aspect,rule_based_sentiment,correct_sentiment,aspect_correct
0,"Straightforward lectures, reasonable tests, and easy homework (which can be done with 100% as long as you do it and not give up). Lectures have REEF polls which will require you to stick around in the lecture room; otherwise, you will lose 10% for participation. Rinaldi is very reasonable and accessible, though her office is a bit hard to find.",explanation_clarity,negative,positive,yes
0,"Straightforward lectures, reasonable tests, and easy homework (which can be done with 100% as long as you do it and not give up). Lectures have REEF polls which will require you to stick around in the lecture room; otherwise, you will lose 10% for participation. Rinaldi is very reasonable and accessible, though her office is a bit hard to find.",practical_sessions,negative,positive,yes
0,"Straightforward lectures, reasonable tests, and easy homework (which can be done with 100% as long as you do it and not give up). Lectures have REEF polls which will require you to stick around in the lecture room; otherwise, you will lose 10% for participation. Rinaldi is very reasonable and accessible, though her office is a bit hard to find.",faculty_availability,negative,positive,yes
0,"Straightforward lectures, reasonable tests, and easy homework (which can be done with 100% as long as you do it and not give up). Lectures have REEF polls which will require you to stick around in the lecture room; otherwise, you will lose 10% for participation. Rinaldi is very reasonable and accessible, though her office is a bit hard to find.",subject_difficulty,negative,positive,yes
1,Really funny guy. He gives ridiculous (but applicable) real life examples that usually get lots of laughs. Emails study guides for each chapter. Usually gives 1 long homework assignement every few weeks.,doubt_solving,positive,positive,yes
1,Really funny guy. He gives ridiculous (but applicable) real life examples that usually get lots of laughs. Emails study guides for each chapter. Usually gives 1 long homework assignement every few weeks.,practical_sessions,positive,positive,yes
2,"Love Uvin! He is an engaging and fair teacher. Classes are discussion-based and you get out what you and your classmates put in (reading and effort-wise.) He has an approach of lots of little projects as opposed to larger, more stressful, papers and projects. I developed a real depth of knowledge, had fun, and felt overall very supported.",study_material,positive,positive,yes
2,"Love Uvin! He is an engaging and fair teacher. Classes are discussion-based and you get out what you and your classmates put in (reading and effort-wise.) He has an approach of lots of little projects as opposed to larger, more stressful, papers and projects. I developed a real depth of knowledge, had fun, and felt overall very supported.",practical_sessions,positive,positive,yes
2,"Love Uvin! He is an engaging and fair teacher. Classes are discussion-based and you get out what you and your classmates put in (reading and effort-wise.) He has an approach of lots of little projects as opposed to larger, more stressful, papers and projects. I developed a real depth of knowledge, had fun, and felt overall very supported.",subject_difficulty,positive,positive,yes
3,"Professor Dashaputre is the teacher you want for Organic Chemistry. She is helpful and open to spending time with you individually if you are struggling in any way, however, that being said the class is difficult as you would expect and the tests (while similar to the practice exams) are about 4x as hard.",doubt_solving,positive,positive,yes
3,"Professor Dashaputre is the teacher you want for Organic Chemistry. She is helpful and open to spending time with you individually if you are struggling in any way, however, that being said the class is difficult as you would expect and the tests (while similar to the practice exams) are about 4x as hard.",practical_sessions,neutral,negative,yes
3,"Professor Dashaputre is the teacher you want for Organic Chemistry. She is helpful and open to spending time with you individually if you are struggling in any way, however, that being said the class is difficult as you would expect and the tests (while similar to the practice exams) are about 4x as hard.",subject_difficulty,neutral,negative,yes
4,His class is fairly easy (1 page paper a week) until the end.  Then he smacks you with a 20 page final!,subject_difficulty,positive,positive,yes
5,Great teacher makes subject material very interesting not a walk in the park though definitely need to put in the work to get the grade but her expectations are very clear.,study_material,positive,positive,yes
5,Great teacher makes subject material very interesting not a walk in the park though definitely need to put in the work to get the grade but her expectations are very clear.,explanation_clarity,positive,positive,yes
6,Really straightforward material that is easy to grasp if you have any mathematical ability.  You don't have to read the text to get a decent grade just go to class and take good notes.  Homework assignments are helpful and exams are challenging only at some parts and for the most part straightforward. Hightly reccommended,doubt_solving,positive,positive,yes
6,Really straightforward material that is easy to grasp if you have any mathematical ability.  You don't have to read the text to get a decent grade just go to class and take good notes.  Homework assignments are helpful and exams are challenging only at some parts and for the most part straightforward. Hightly reccommended,study_material,positive,positive,yes
